family_n,layer,seed,task_pair,utility_block_difference,utility_ff_difference,utility_sa_difference
60,8,44,maximum__first,-0.008402167283929885,0.0004331790997336308,-0.007823040631289283
60,8,55,maximum__first,0.006078330334275961,-0.009772718193319936,0.00952706130919978
60,9,11,maximum__first,-0.004354191532668968,-0.004243613263436904,0.005865377288622161
60,9,22,maximum__first,0.005076558007082592,0.003800508026809742,-0.004131817860373606
60,9,33,maximum__first,0.006630789833919456,-0.0011508661361100774,0.009388067348239323
60,9,44,maximum__first,-0.004574712346463154,-0.009026068503347535,-0.0015666640363633632
60,9,55,maximum__first,0.00271188213955611,-0.012812361827430625,0.019675077684223653
60,10,11,maximum__first,0.019559605392472198,0.00592060018874084,0.014800453779753298
60,10,22,maximum__first,0.050052023104702435,0.016490905700872343,0.02420590369341274
60,10,33,maximum__first,0.006225959168902288,0.0006112732846910755,0.003250107984058559
60,10,44,maximum__first,-0.019310638770305862,-0.008849645879430075,-0.01091769546813642
60,10,55,maximum__first,0.009166247921530157,0.001586610625963658,0.004593722782252977
60,11,11,maximum__first,-0.005672515967550377,-0.003099803118190418,-0.0010131980020863314
60,11,22,maximum__first,-0.007614903807795296,-0.0022372178616933526,-0.005142155010253191
60,11,33,maximum__first,0.005985202667458603,0.003193276635526369,0.001960304263047874
60,11,44,maximum__first,0.015797347753929596,0.002394676604308188,0.011652133935907234
60,11,55,maximum__first,0.002186941805606087,0.0045002521132119,-0.004937467929751923
60,12,11,maximum__first,-0.0033856699320798118,-0.007448702751814077,0.004127621670098354
60,12,22,maximum__first,-0.0068696712143719195,-0.0011131632529820005,-0.004798626007201771
60,12,33,maximum__first,0.0013391472088793914,7.444781561692556e-05,0.0012399840091044704
60,12,44,maximum__first,-0.0010750723847498497,0.0009893877509360512,-0.0018480106489732861
60,12,55,maximum__first,-0.004188956541474909,0.0038199252099730074,-0.006716407497879118
60,13,11,maximum__first,-0.003844846431942036,0.0010354373487643897,-0.0056158779887482526
60,13,22,maximum__first,0.010194780378757666,0.009039482567459345,0.0017259283728587131
60,13,33,maximum__first,0.0020897995874596138,0.0013280267710797488,0.0006893739647542437
60,13,44,maximum__first,0.009489633612489948,0.0039792601834051314,0.004993574600666762
60,13,55,maximum__first,-0.011309282691217958,-0.014021091357183954,0.0031262376694940032
60,14,11,maximum__first,-0.009831954399123788,-0.006763690733350813,-0.0034876006422564386
60,14,22,maximum__first,0.007575708243530243,0.007709421570568035,2.813657435278098e-06
60,14,33,maximum__first,0.0016270131687633692,-4.837681772187352e-05,0.002238357497844845
60,14,44,maximum__first,-0.004781211404285083,-0.007781439026196798,0.0030838433381480475
60,14,55,maximum__first,-0.0015616924424345295,-0.008097723867588986,0.007602186442818492
60,15,11,maximum__first,0.0042775900258372225,-0.0047511448074753085,0.010482760522669802
60,15,22,maximum__first,0.007375569152645767,0.0061407910621104145,0.0013433688320219517
60,15,33,maximum__first,0.0005420832079835236,0.0013389531251353523,-0.0007519205178444584
60,15,44,maximum__first,0.017318531374136605,0.0010719818800377348,0.016257815028075127
60,15,55,maximum__first,-0.006577883218415082,0.002919297176413238,-0.010605318301046888
60,0,11,maximum__last,0.24779101997846736,-0.02055402813712135,0.3190027709701099
60,0,22,maximum__last,0.05952488362478713,0.008275166402260463,-0.010966297281750787
60,0,33,maximum__last,0.017527170130051672,0.0312693293322809,-0.014614271679117033
60,0,44,maximum__last,-2.273260705685243,-0.03906177649041638,-2.3826782518570933
60,0,55,maximum__last,0.3072590967989527,0.023862075751336913,0.10049089813837782
60,1,11,maximum__last,-0.017726335577511538,0.002786520224375029,-0.017318077362142505
60,1,22,maximum__last,0.3363644625642337,0.06762865425941224,0.20276733900342758
